"Total.Cup.Points","altitude_mean_meters_adj","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
82.92,1059,0,0,0,0,"Typica",0,0,1,1,9.831
84.42,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.17,1450,0,0,0,0,"Other",0,0,0,0,9.831
76,1350,0,0,0,0,"Other",0,0,0,0,9.57066666666667
79.75,1400,0,0,0,1,"Typica",0,0,1,1,9.6065
82.33,1100,0,0,0,0,"Bourbon",1,0,0,0,9.831
82.58,1750,0,0,0,1,"Caturra",0,1,0,0,9.6065
83,1473,0,0,0,1,"Bourbon",1,0,0,0,9.831
81.08,1650,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.58,1300,0,0,1,0,"Bourbon",1,0,0,0,9.516
83.92,1550,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
83.17,1350,0,0,0,0,"Caturra",0,1,0,0,9.831
84.33,1800,0,0,0,1,"Caturra",0,1,0,0,9.6065
82.83,1250,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.92,1750,0,0,0,0,"Caturra",0,1,0,0,9.6065
83.83,800,0,0,0,0,"Other",0,0,0,0,9.6065
81.67,1400,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
83.17,250.5,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.67,1700,0,0,0,1,"Other",0,0,0,0,9.6065
81.83,1250,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
83.33,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
73.83,1250,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.92,1200,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
81.5,1600,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.17,1650,0,0,0,1,"Bourbon",1,0,0,0,9.831
68.33,900,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
83,1000,0,0,0,0,"Caturra",0,1,0,0,9.6065
86.08,1754,0,0,0,0,"Other",0,0,0,0,9.57066666666667
84.25,1700,0,0,0,1,"Caturra",0,1,0,0,9.6065
82.58,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.33,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
81.58,13,0,0,0,1,"Caturra",0,1,0,0,9.831
81.17,1000,0,0,0,0,"Other",0,0,0,0,9.50733333333333
83.17,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
82.75,1775,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82.75,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.25,1700,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.33,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
80.75,520.257024,0,0,0,1,"Caturra",0,1,0,0,9.831
82.33,464.5152,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.92,1250,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.58,1100,0,0,1,0,"Other",0,0,0,0,9.50733333333333
83.5,1400,0,0,0,1,"Other",0,0,0,0,9.831
81.92,1877,0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.5,1700,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
84.25,1200,0,0,0,0,"Other",0,0,0,0,9.831
82.08,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.58,1800,0,0,0,1,"Other",0,0,0,0,9.6065
83.25,1000,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
82.83,1600,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.42,1260,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.83,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
81,1100,0,0,1,0,"Typica",0,0,1,1,9.57066666666667
81.42,110,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
76.08,1250,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
80.08,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.08,1300,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
83.08,1400,0,0,0,1,"Other",0,0,0,1,9.50733333333333
86,1860,0,0,0,1,"Other",0,0,0,0,9.6065
83,1645,0,0,0,0,"Bourbon",1,0,0,0,9.831
82,1300,0,0,0,1,"Other",0,0,0,0,9.6065
81.17,995,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
79.75,1450,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
78.92,1400,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.42,600,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
81.17,1200,0,0,0,0,"Typica",0,0,1,0,9.57066666666667
82.25,1338,0,0,0,1,"Other",0,0,0,1,9.6065
81.33,1350,0,0,0,1,"Other",0,0,0,0,9.831
84.67,2000,0,0,0,1,"Other",0,0,0,0,9.50733333333333
75.17,1200,0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.83,1350,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
83.17,950,0,0,0,0,"Other",0,0,0,0,9.50733333333333
82.83,905,0,1,0,0,"Other",0,0,0,0,9.831
82,1900,0,0,0,1,"Caturra",0,1,0,0,9.6065
85.33,1770,0,0,0,0,"Other",0,0,0,0,9.57066666666667
84.5,1680,0,0,0,1,"Other",0,0,0,1,9.831
81.42,1550,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
81.25,1700,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.83,1400,0,0,0,1,"Other",0,0,0,0,9.50733333333333
81.17,1300,0,0,0,1,"Caturra",0,1,0,0,9.831
85.5,1900,0,0,0,0,"Other",0,0,0,0,9.831
83.5,1750,0,0,0,1,"Caturra",0,1,0,0,9.6065
80.58,1200,0,0,1,0,"Bourbon",1,0,0,0,9.831
81.83,1425,0,0,0,1,"Other",0,0,0,1,9.831
84.25,442,0,0,0,0,"Caturra",0,1,0,0,9.831
83,1550,1,0,0,0,"Caturra",0,1,0,0,9.57066666666667
82.58,1150,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.58,850,0,0,1,0,"Typica",0,0,1,1,9.57066666666667
79.5,1050,0,0,0,0,"Caturra",0,1,0,0,9.831
74.67,1700,0,0,0,1,"Typica",0,0,1,1,9.6065
81.5,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
83.5,1850,0,0,0,1,"Caturra",0,1,0,0,9.831
59.83,431.999136,0,0,0,1,"Other",0,0,0,0,9.50733333333333
69.17,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
74,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82,1050,0,0,1,0,"Other",0,0,0,0,9.50733333333333
79.83,1250,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82,800,0,0,0,1,"Other",0,0,0,0,9.6065
82.33,1580,0,1,0,0,"Other",0,0,0,1,9.831
87.08,2112,0,0,0,1,"Other",0,0,0,1,9.57066666666667
83.58,1600,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
82.42,1296,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80.75,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
79.92,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
83.42,1200,0,0,0,1,"Other",0,0,0,0,9.831
79,1550,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
81.92,1100,0,0,0,0,"Other",0,0,0,0,9.50733333333333
82.08,1800,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.75,1625,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
81.17,1200,0,0,0,1,"Caturra",0,1,0,1,9.831
89,2000,0,0,0,0,"Other",0,0,0,0,9.57066666666667
81.5,600,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
84.17,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
80.67,1350,0,0,1,0,"Other",0,0,0,0,9.831
84.58,464.5152,0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.5,2000,0,0,0,1,"Other",0,0,0,0,9.50733333333333
81.5,900,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
82.92,1600,0,0,0,1,"Other",0,0,0,0,9.57066666666667
78.08,1050,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83,418.06368,0,0,0,1,"Other",0,0,0,0,9.831
83.92,1350,0,0,0,0,"Other",0,0,0,0,9.831
80.5,1250,0,0,1,0,"Other",0,0,0,0,9.6065
83.58,1550,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
84.67,1600,0,0,0,1,"Bourbon",1,0,0,0,9.831
87.17,1320,0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.08,1456,0,0,0,1,"Other",0,0,0,0,9.57066666666667
75.83,1000,0,0,0,1,"Other",0,0,0,0,9.50733333333333
82.33,510.96672,0,0,0,1,"Bourbon",1,0,0,0,9.831
81.83,1500,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.17,1200,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
80.83,1200,0,0,0,1,"Caturra",0,1,0,0,9.6065
