"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
84.08,1775,2,0,0,0,1,0,0,1,0,0,0
80.5,50,0,0,0,0,0,0,0,0,0,0,1
82.5,800,0,0,0,0,1,0,0,0,0,0,0
87.25,2019,0,0,0,0,1,0,0,0,0,0,1
81.67,1400,6,0,0,0,1,0,0,0,1,0,1
84,1600,9,0,0,0,1,0,0,0,0,0,0
83.33,1000,1,0,0,0,0,0,0,1,0,0,0
81.58,1100,0,0,0,0,1,0,0,0,0,0,0
81.58,13,1,0,0,0,1,0,0,1,0,0,0
82,2500,1,0,0,0,1,0,0,0,0,0,0
83.83,1300,4,0,0,0,0,0,0,0,0,0,1
81.67,371.61216,3,0,0,0,1,1,0,0,0,0,0
80.5,1450,1,0,0,0,1,0,0,0,1,0,1
86.33,1300,0,0,0,0,1,0,0,1,0,0,0
79.75,800,0,0,0,0,1,0,0,0,0,0,0
83.92,1300,5,0,0,0,1,0,0,0,0,0,1
76.42,1100,14,0,0,0,1,0,0,0,1,0,1
79.67,1400,6,0,0,0,1,0,0,0,1,0,1
82.33,1100,2,0,0,0,0,0,0,0,0,0,0
83.5,1400,0,0,0,0,1,0,0,0,0,0,1
83,1000,1,0,0,0,0,0,0,1,0,0,0
82.42,1600,0,0,0,0,1,0,0,0,0,0,1
88.83,2075,2,0,0,0,1,0,0,0,0,0,0
81.67,150,0,0,0,1,0,0,0,0,1,0,1
80.67,185,4,0,0,0,1,0,0,1,0,0,0
79.92,1250,0,0,0,0,1,0,0,0,0,0,1
83.67,399.483072,13,0,0,0,1,1,0,0,0,0,0
84.67,1200,3,0,0,0,1,0,0,0,1,0,1
82.42,1250,4,0,0,0,1,1,0,0,0,0,1
82.67,1300,0,0,0,0,1,0,0,0,0,0,0
82.42,1500,6,0,0,0,1,0,0,0,0,0,0
83.17,700,5,0,0,0,1,0,0,0,1,0,1
83.08,1300,3,0,0,0,1,0,1,0,0,0,0
81.33,1450,3,0,0,0,1,0,1,0,0,0,0
83,1000,0,0,0,0,0,0,1,0,0,0,0
85.83,1900,4,0,0,0,1,0,0,0,0,0,0
85.5,1600,1,0,0,0,1,0,0,0,0,0,0
85.5,1900,7,0,0,0,0,0,0,0,0,0,0
83.42,439,1,0,0,0,1,0,0,1,0,0,0
81.92,1877,4,0,0,0,1,0,0,0,0,0,0
83.42,1813,1,0,0,0,1,0,0,1,0,0,0
