"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
83,1800,0,0,0,0,1,0,0,0,0,0,0,9.6065
78.33,1300,78,0,0,0,0,0,0,0,1,0,1,9.50733333333333
82.75,464.5152,2,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.83,1500,2,0,0,0,1,1,0,0,0,0,1,9.50733333333333
81.92,690,10,0,0,0,1,0,0,0,0,0,1,9.50733333333333
83.17,1800,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.42,399.483072,0,0,0,0,1,1,0,0,0,0,0,9.6065
84.08,1800,15,0,0,0,0,0,0,0,0,0,0,9.50733333333333
81.58,1800,5,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.42,1050,6,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85,1,7,0,0,0,1,0,0,0,0,0,0,9.831
81.08,260.128512,0,0,0,0,1,0,0,0,0,0,0,9.6065
84.58,1800,2,0,0,0,1,0,0,0,0,0,0,9.6065
80.75,1300,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
80.17,1000,12,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83,1000,0,0,0,0,0,0,1,0,0,0,0,9.57066666666667
80.58,421.7798016,5,0,0,0,0,1,0,0,0,0,0,9.57066666666667
84,1450,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
82,1400,5,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.33,1550,0,0,0,0,1,0,1,0,0,0,0,9.831
83.25,800,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84.67,1150,2,0,0,0,1,0,1,0,0,0,0,9.831
82.08,1300,7,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.42,600,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
78.75,1350,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.33,399.483072,3,0,0,0,1,1,0,0,0,0,0,9.6065
83.67,1750,1,0,0,0,1,0,0,1,0,0,0,9.50733333333333
82.92,1248,4,0,0,0,0,0,0,0,1,0,1,9.50733333333333
75.17,1280,52,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.58,371.61216,3,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.75,1680,5,1,0,0,0,0,0,1,0,0,0,9.57066666666667
83.5,1850,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79.08,1200,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.25,1170,3,0,0,0,1,1,0,0,0,0,1,9.50733333333333
81.75,1040,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
69.17,1450,3,0,0,0,1,0,1,0,0,0,0,9.57066666666667
85.25,1550,0,0,0,0,1,0,0,1,0,0,0,9.831
79.17,1450,34,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.92,1775,3,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84.17,250.5,0,0,0,0,1,0,0,0,0,0,0,9.6065
80.75,1350,2,0,0,0,1,0,1,0,0,0,0,9.831
83.33,1100,0,0,0,0,1,0,0,0,0,0,1,9.6065
78.58,1300,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.92,1400,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.58,1350,0,0,0,1,0,1,0,0,0,0,0,9.50733333333333
