"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
82.83,371.61216,"Guatemala","2015","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.831
82.83,1500,"Guatemala","2014","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.57066666666667
82.83,1400,"Tanzania, United Republic Of","2012","Arusha","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
82.83,1380,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
82.75,1442,"Malawi","2014","Gesha","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
82.75,165,"Colombia","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,0,9.57066666666667
82.75,1300,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
82.75,1625,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.75,1775,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.67,1296,"Mexico","2014","Typica","Natural / Dry",0,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.57066666666667
82.67,1650,"Uganda","2013","SL14","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
82.67,1240,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
82.67,1100,"Mexico","2012","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
82.58,1300,"Costa Rica","2013","Catuai","Washed / Wet",3,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.6065
82.58,1750,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.58,1775,"Colombia","2012","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.5,1600,"Mexico","2013","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,1,9.6065
82.5,1650,"Mexico","2012","Typica","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Typica",0,0,0,1,0,1,9.50733333333333
