"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
82.33,1850,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
82.33,1550,"Costa Rica","2015","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
82.33,1300,"Mexico","2013","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.6065
82.33,441,"Mexico","2012","Typica","Natural / Dry",0,0,0,0,"Typica",0,0,1,1,9.50733333333333
82.33,1300,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.33,442,"Colombia","2012","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.50733333333333
82.25,1500,"El Salvador","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
82.25,1180,"Malawi","2014","Gesha","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.25,423.91657152,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
82.25,1100,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.25,1750,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.25,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.17,1144,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.17,1350,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.17,1000,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.08,1300,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
82.08,1500,"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
82.08,1250,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82,1350,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
82,600,"Taiwan","2013","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.6065
82,1038.5,"Brazil","2012","Mundo Novo","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.50733333333333
82,940,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82,1000,"Brazil","2012","Mundo Novo","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.50733333333333
82,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
81.92,1550,"Guatemala","2015","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
81.92,1000,"Taiwan","2012","Typica","Other",1,0,0,0,"Typica",0,0,1,1,9.50733333333333
81.92,981,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,1,0,"Typica",0,0,1,1,9.50733333333333
81.92,1650,"Mexico","2012","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.83,1300,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.831
81.83,1100,"Brazil","2015","Bourbon","Natural / Dry",0,0,0,0,"Bourbon",1,0,0,0,9.831
