"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
82.33,982,"Brazil","2016","Catuai","Natural / Dry",11,3,0,0,0,0,"Catuai",0,1,0,0,0,0
82.33,1550,"Costa Rica","2015","Catuai","Washed / Wet",0,2,0,0,0,1,"Catuai",0,1,0,0,0,0
82.33,1580,"China","2015","Catimor","Pulped natural / honey",2,6,0,1,0,0,"Other",0,0,0,0,0,1
82.33,510.96672,"Guatemala","2015","Bourbon","Washed / Wet",6,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.33,464.5152,"Guatemala","2014","Pacas","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0
82.33,534.19248,"Guatemala","2012","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.33,950,"Brazil","2012","Mundo Novo","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0
82.25,1450,"Guatemala","2016","Pacas","Washed / Wet",2,2,0,0,0,1,"Other",0,0,0,0,0,0
82.25,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",9,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
82.25,1500,"El Salvador","2014","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.25,1350,"Honduras","2015","Catuai","Washed / Wet",2,0,0,0,0,1,"Catuai",0,1,0,0,0,0
82.25,1338,"Mexico","2013","Mundo Novo","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,1
82.25,1170,"Mexico","2012","Bourbon","Washed / Wet",3,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
82.25,1750,"Colombia","2012","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
82.17,934,"Brazil","2016","Bourbon","Natural / Dry",5,1,0,0,0,0,"Bourbon",1,0,0,0,0,0
82.17,1500,"Honduras","2015","Caturra","Washed / Wet",2,1,0,0,0,1,"Caturra",0,0,1,0,0,0
82.17,1100,"Mexico","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1
82.17,1400,"Mexico","2013","Other","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,1
82.17,1750,"Colombia","2013","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
82.17,1350,"Guatemala","2012","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0
82.08,1600,"Tanzania, United Republic Of","2014","Other","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0
82.08,1250,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1
82,1600,"Honduras","2016","Caturra","Natural / Dry",7,1,0,0,0,0,"Caturra",0,0,1,0,0,0
82,600,"Taiwan","2013","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
82,800,"Thailand","2013","","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
82,950,"Brazil","2012","Mundo Novo","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Other",0,0,0,0,0,0
81.92,1901,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
81.92,1000,"Taiwan","2012","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1
81.92,981,"Mexico","2012","Typica","Semi-washed / Semi-pulped",9,0,0,0,1,0,"Typica",0,0,0,1,0,1
81.92,1650,"Mexico","2012","Other","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,1
81.92,1100,"Brazil","2012","Mundo Novo","Natural / Dry",3,0,0,0,0,0,"Other",0,0,0,0,0,0
81.83,1250,"Indonesia","2015","Other","Other",0,1,1,0,0,0,"Other",0,0,0,0,0,0
81.83,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",1,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
81.83,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
81.83,1425,"Mexico","2015","Catuai","Washed / Wet",7,0,0,0,0,1,"Catuai",0,1,0,0,0,1
81.83,1300,"Costa Rica","2015","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
81.83,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
81.83,1500,"Mexico","2012","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
81.75,1650,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1
81.67,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
81.67,1700,"Tanzania, United Republic Of","2013","Other","Washed / Wet",7,0,0,0,0,1,"Other",0,0,0,0,0,0
81.67,1260,"Brazil","2014/2015","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
81.67,534.19248,"Guatemala","2012","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
81.67,1400,"Mexico","2012","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
81.67,1400,"Mexico","2012","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
81.58,1200,"Honduras","2018","Catimor","Washed / Wet",3,1,0,0,0,1,"Other",0,0,0,0,0,0
81.58,850,"Taiwan","2014","Typica","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Typica",0,0,0,1,0,1
81.58,1600,"Mexico","2012","Marigojipe","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1
81.5,180,"Taiwan","2015","Typica","Natural / Dry",2,0,0,0,0,0,"Typica",0,0,0,1,0,1
81.5,371.61216,"Guatemala","2014","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
81.5,900,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
81.5,600,"Taiwan","2013/2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1
81.5,1100,"Mexico","2012","Catuai","Washed / Wet",10,0,0,0,0,1,"Catuai",0,1,0,0,0,1
81.5,1000,"Mexico","2012","Typica","Semi-washed / Semi-pulped",6,0,0,0,1,0,"Typica",0,0,0,1,0,1
81.5,1250,"Mexico","2012","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
81.42,1400,"Honduras","2015","Catuai","Washed / Wet",1,0,0,0,0,1,"Catuai",0,1,0,0,0,0
81.42,1100,"Brazil","2014/2015","Bourbon","Natural / Dry",0,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
81.42,1550,"Mexico","2014","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1
81.42,763,"Mexico","2012","Caturra","Washed / Wet",9,0,0,0,0,1,"Caturra",0,0,1,0,0,1
81.33,1350,"Honduras","2015","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0
81.33,1200,"Brazil","2014/2015","Yellow Bourbon","Other",6,0,1,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
81.25,680,"Taiwan","2015","Typica","Natural / Dry",0,0,0,0,0,0,"Typica",0,0,0,1,0,1
81.25,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",1,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
81.25,1100,"Nicaragua","2015","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0
81.25,1400,"Honduras","2015","Catuai","Washed / Wet",1,0,0,0,0,1,"Catuai",0,1,0,0,0,0
81.25,1500,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1
