"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
81.67,1700,7,0,0,0,0,1,0,0,0,0,0,0,9.6065
84.92,1620,2,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.58,1650,0,0,0,0,0,0,0,0,0,0,0,0,9.6065
83.33,1300,3,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79.5,1550,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.92,520.257024,2,0,0,0,0,1,1,0,0,0,0,0,9.6065
76.17,3500,30,0,0,0,0,0,0,0,0,0,0,0,9.516
82.25,1100,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
76.08,1250,12,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.33,399.483072,7,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
80,250,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.5,1400,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
87.58,2080,0,0,0,0,0,1,0,0,0,0,0,1,9.57066666666667
82.5,1600,1,0,0,0,0,1,0,0,0,0,0,1,9.6065
79.75,800,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
81,1100,8,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.5,1600,1,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.92,1650,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
81.17,1550,2,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
84.67,1900,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.58,1850,7,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.58,1550,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
79.5,1550,21,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
79.92,1300,4,0,0,0,0,1,1,0,0,0,0,1,9.6065
82.25,1350,2,0,0,0,0,1,0,1,0,0,0,0,9.831
81.83,1425,7,0,0,0,0,1,0,1,0,0,0,1,9.831
82.58,1750,3,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.5,371.61216,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.17,1500,4,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
80.75,1350,2,0,0,0,0,1,0,1,0,0,0,0,9.831
83,418.06368,2,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
79.75,1100,4,0,0,0,0,1,0,1,0,0,0,0,9.6065
78.5,1200,4,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
85,1300,3,0,0,0,0,1,0,0,0,1,0,1,9.831
84.25,1700,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
83,1775,3,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84.67,1750,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79.92,1250,0,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
81.5,1400,0,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
84.42,1775,3,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
84.17,1400,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.92,900,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
81.75,1650,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.58,1550,1,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
78.33,399.483072,5,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
83.58,1000,0,0,1,0,0,0,0,0,0,1,0,1,9.57066666666667
87.25,1450,0,0,0,0,0,1,0,0,0,0,0,1,9.831
83.17,1653,6,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.25,800,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.83,371.61216,2,0,0,0,0,1,1,0,0,0,0,0,9.831
78.58,1400,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.42,1550,6,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
82,600,0,0,0,0,0,1,0,0,0,1,0,1,9.6065
85.5,1900,7,0,0,0,0,0,0,0,0,0,0,0,9.831
83.17,1089,10,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
84.25,1600,2,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.42,1350,6,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
75.17,1100,8,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
85.83,431.999136,1,0,0,0,0,1,0,1,0,0,0,0,9.50733333333333
83.08,750,0,0,0,0,0,0,0,0,0,1,0,1,9.831
83.25,1483,0,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
82.75,1100,4,0,0,0,0,1,0,1,0,0,0,0,9.50733333333333
80.42,1050,6,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.33,1100,0,0,0,0,0,1,0,0,0,0,0,1,9.6065
83.67,1900,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.42,600,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
81.75,1550,24,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
79.42,371.61216,5,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.08,1250,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
76.33,399.483072,8,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
84.67,1000,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84,1200,2,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
78.92,1400,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
79.75,1050,23,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.42,600,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.67,1650,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
81.83,1250,0,0,0,0,1,0,1,0,0,0,0,0,9.50733333333333
83.42,371.61216,1,0,0,0,0,0,1,0,0,0,0,0,9.6065
82.08,1600,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.17,1000,1,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
81.08,1500,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
81.42,1550,2,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.83,1250,3,0,0,0,1,0,0,0,0,0,1,0,9.50733333333333
77.33,1500,9,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.67,940,4,0,0,0,1,0,0,0,1,0,0,1,9.50733333333333
84.25,1200,0,0,0,0,0,0,0,0,0,0,0,0,9.831
83.5,1850,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.58,1750,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.42,1775,9,0,0,0,0,1,0,0,1,0,0,0,9.6065
83.75,1550,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
86.17,1300,10,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.25,1500,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.75,1200,5,0,0,0,0,0,0,0,0,1,0,1,9.50733333333333
81.83,1500,2,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
86.83,1950,1,0,0,0,0,1,0,0,0,0,0,0,9.6065
83.67,399.483072,2,0,0,0,0,1,1,0,0,0,0,0,9.6065
83.17,1775,3,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
82.83,905,2,2,0,1,0,0,0,0,0,0,1,0,9.831
84.17,1150,16,0,0,0,0,0,0,1,0,0,0,0,9.831
80.75,520.257024,1,0,0,0,0,1,0,0,1,0,0,0,9.831
83.33,390.192768,4,0,0,0,0,1,0,0,0,1,0,0,9.50733333333333
83.58,1600,0,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
81.67,1200,2,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83,1200,13,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83.67,399.483072,13,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
82.08,1500,5,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
81.25,1700,2,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.75,774,11,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.5,1750,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.42,1450,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.58,1400,5,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
81.67,1260,2,0,0,0,0,1,1,0,0,0,0,0,9.831
77.5,1300,3,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
74,1200,27,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.75,1100,0,0,0,0,0,0,0,0,0,0,0,1,9.831
80.92,325.16064,5,0,1,0,0,0,0,0,0,0,0,0,9.831
